,en-US,de-DE,fr-FR,it-IT,es-ES,pl-PL
#FE-LoadHeader,Select slot to Load,Datei zum laden wählen,Sélectionner le fichier ŕ charger,Seleziona il file da caricare,Selecciona archivo para cargar,Wybierz skąd ładować
#FE-EmptySlot,Empty,Leer,Vide,Vuoto,Vacío,Puste
#FE-CancelSaveOption,Cancel,Abbrechen,Annuler,Annulla,Cancelar,Anuluj
#FE-NoSaveOption,Continue without saving,Weiter ohne zu speichern,Continuer sans sauvegarder,Continua senza salvare,Continuar sin guardar,Kontunuuj bez zapisu
#FE-NewSaveOption,Create New Save,Neues Datei,Nouvelle sauvegarde,Nuovo salvataggio,Nuevo guardado,Nowy zapis
#FE-AutoSaveMSG,Autosave in progress.\n\nPlease don't turn off the game.,Automatiche Datenspeicherung.,Sauvegarde du jeu,Salvataggio del gioco,Guardar juego,Zapisuję.\n\nProszę nie wyłączać gry.
#FE-GameOver,GAME OVER,ENDE,PARTIE TERMINÉE,FINE PARTITA,FIN DE LA PARTIDA,KONIEC GRY
#FE-QuitMSG,You will lose all unsaved progress\nif you quit now.\nAre you sure you\nwant to quit?,Spiel beenden?,Quitter le jeu ?,Vuoi uscire dalla partita?,żsalir de la partida?,Jesteś pewny by\nwyjść?
#FE-TitleStart,Press START to play,START-Taste drücken,Appuie sur la touche START,Premi il tasto START (avvio),Pulsa el botón START,Naciśnij START by zacząć
#FE-Loading,LOADING,LADEN,CHARGEMENT,CARICAMENTO IN CORSO,CARGANDO,ŁADUJE
#FE-SaveOK,Save Successful,Speichern erfolgreich,Sauvegarde réussie,Salvataggio completato,éxito al guardar,Zapis poprawny
#FE-LoadOK,Load Successful,Laden erfolgreich,Chargement réussi,Caricamento completato,éxito al cargar,Ładowanie poprawne
#FE-CancelSaveHeader,Cancel Save?,Speichern abbrechen?,Annuler la sauvegarde?,Annulare il salvataggio?,żcancelar guardar?,Anuluj zapisanie?
#FE-SaveCancelled,Save Cancelled,Speichern abgebrochen,Sauvegarde annulée,Salvataggio annullato,Guardado cancelado,Zapisanie anulowane
#FE-AcceptChanges,Accept Changes,Änderungen annehmen,Accepter les changements,Accetta modifiche,Aceptar cambios,Potwierdź zmiany
#FE-SelectIcon,Select CROSS,Auswahl,Sélectionner,Seleziona,Seleccionar,Wybierz
#FE-NextIcon,Next CROSS,Weiter,Continuer,Riprendi,Reanudar,Dalej
#FE-BackIcon,TRIANGLE Back,Zurück,Retour,Indietro,Volver,Powrót
#FE-LTIcon,< LT,< LT,< LT,< LT,< LT,< LT
#FE-RTIcon,RT >,RT >,RT >,RT >,RT >,RT >
#FE-CancelIcon,CIRCLE Cancel,Abbrechen,Annuler,Annulla,Cancelar,Anuluj
#FE-ExtrasLocked,??????????,??????????,??????????,??????????,??????????,??????????
#FE-GemExtrasBlue,Blue Gem Extras,Blaue Edelstein-Extras,Bonus gemmes bleues,Extra gemme blu,Extras de gema azul,Bonusy niebieskich klejnotów
#FE-GemExtrasClear,Clear Gem Extras,Weisse Edelstein-Extras,Bonus gemmes transparentes,Extra gemme trasparenti,Extras de gema clara,Bonusy białych klejnotów
#FE-GemExtrasGreen,Green Gem Extras,Grüne Edelstein-Extras,Bonus gemmes vertes,Extra gemme verdi,Extras de gema verde,Bonusy zielonych klejnotów
#FE-GemExtrasPurple,Purple Gem Extras,Lila Edelstein-Extras,Bonus gemmes violettes,Extra gemme viola,Extras de gema morada,Bonusy purpurowych klejnotów
#FE-GemExtrasRed,Red Gem Extras,Rote Edelstein-Extras,Bonus gemmes rouges,Extra gemme rosse,Extras de gema roja,Bonusy czerwonych klejnotów
#FE-GemExtrasYellow,Yellow Gem Extras,Gelbe Edelstein-Extras,Bonus gemmes jaunes,Extra gemme gialle,Extras de gema amarilla,Bonusy żółtych klejnotów
#FE-DisableAutoSaveHeader,Disable Autosave?,Autom. speichern\ndeaktivieren?,Désactiver~l'auto-sauvegarde?,Disabilita salvataggio automatico?,żdesactivar autoguardado?,Wyłączyć autom. zapis?
#FE-CompleteExtras,100% Extras,100% Extras,100% Bonus,100% Extra,100% Extras,Bonusy 100%
#FE-BossExtras,Boss Extras,Boss Extras,Bonus des bosses,Extra boss,Extras de jefes,Bonusy bossów
#FE-ConceptExtras,Concept Extras,Konzept Extras,Bonus des concept,Extra concept,Extras de diseńos,Bonusy konceptowe
#FE-EnemyExtras,Enemy Extras,Feind Extras,Bonus des ennemis,Extra nemici,Extras de enemigos,Bonusy wrogów
#FE-MovieExtras,Movie Extras,Film Extras,Bonus film,Extra filmato,Extras película,Bonusy filmów
#FE-UnseenExtras,Unseen Extras,Ungesehene Extras,Bonus des choses cachées,Extra inediti,Extras nueva,Bonusy nieznane
#FE-LevelName-001,N.Sanity Island,N.Sanity-Insel,Ile de N.Sanity,L'isola Della Follia,Isla Locura,Wyspa N.Sanity
#FE-LevelName-002,Jungle Bungle,Dschungel-Fieber,Dingue de Jungle,Pasticcio Nella Giungla,Jungla Unga,Groźny Gąszcz
#FE-LevelName-003,Cavern Catastrophe,Höhlen-Hölle,Caverne Catastrophe,Catastrofe Nella Caverna,Cueva Catástrofe,Pieczara Piekła
#FE-LevelName-004,Totem Hokum,Totem-Tohuwabohu,Totem Hokum,Villaggio Indiano,Tótem Tonto,Totemowe Tragedie
#FE-LevelName-005,Iceberg Lab,Eisberg-Labor,Labo Iceberg,Il Laboratorio di Ghiaccio,Laboratorio Iceberg,Lodowcowe Laboratorium
#FE-LevelName-006,Ice Climb,Heisses Eis,Glace Glissante,Scalata sui Ghiacci,Trepa Hielo,Odmrożone Odpłaty
#FE-LevelName-007,Slip Slide Icecapades,Eis-Eskapaden,Toboggan Glagla,Scivolate sui Ghiacci,Hieloescapa y Deslízate,Ślizgo-slajdowypad
#FE-LevelName-008,High Seas Hi-Jinks,Hochsee-Hokuspokus,Bon Grain Marin,Baldoria in Alto Mare,Lío en Alta Mar,Pełnomorskie Porwania
#FE-LevelName-009,Academy Of Evil,Akademie des Bösen,Académie Maléfique,L'accademia del Male,Academia del Mal,Akademia Zła
#FE-LevelName-010,Boiler Room Doom,Heizkeller-Hickhack,Chaude Chaudičre,La Caldaia Maledetta,Sala de Calderas,Kłótliwa Kotłownia
#FE-LevelName-011,Classroom Chaos,Klassenzimmer-Chaos,Chaos en Casse,Caos in Casse,Clase Caótica,Kakofoniczne Klasy
#FE-LevelName-012,Rooftop Rampage,Dach-Drama,Combat sur le Toit,Furore sui Tetti,Jaleo Aéreo,Dachowe Działanie
#FE-LevelName-013,Twinsanity Island,Irrsins-Insel,Ile de Twinsanity,L'isola Dei Gemelli Folli,Isla Locados,Wyspa Twinsanity
#FE-LevelName-014,Rockslide Rumble,Steinschlag-Stress,Raffut Rocailleux,Che Frana!,Descenso Rocoso,Oszołomowe Osuwisko
#FE-LevelName-015,Bandicoot Pursuit,Bandicoot-Jagd,Poursuite Bandicoot,La Caccia di Bandicoot,Sigue a Bandicoot,Pogoń Bandicoota
#FE-LevelName-016,Ant Agony,Ameisen-Aufstand,Fourmi Furieuse,Il Formicaio,Hormiga Manía,Mrówkowa Mania
#FE-Explorer-Title,Select Level,Levelauswahl,Choisir le niveau,Seleziona livello,Selecciona el nivel,Wybór poziomu
#FE-Explorer-Footer,Project Rehab - Explorer Tech Demo,Projekt Rehab - Explorer-Tech-Demo,Projet Rehab Démo,Progetto Rehab Demo,Proyecto Rehab Demo,Projekt Rehab - Tech. Demo Poszukiwacza
#FE-Explorer-ImportNotFound,Imported assets not found!,Importierte Datei nicht gefunden!,Données importées introuvables!,Dati importati non trovati!,¡No se encontraron datos importados!,Nie znaleziono plików oryginalnej gry!
#FE-Explorer-ReturnToLevelSelect,Return To Level Select,Zurück zur Levelauswahl,Revenir à la sélection du niveau,Torna al livello selezionato,Volver a seleccionar nivel,Powrót do wyboru poziomów
#FE-Explorer-ReturnToMainMenu,Return To Main Menu,Zurück zur Hauptmenü,Retour au menu principal,Ritorna al menu principale,Volver al menú principal,Powrót do głównego menu
#FE-Explorer-Advanced,Advanced,Profi,Professionnel,Avanzati,Avanzado,Zaawansowane
#FE-Explorer-Disclaimer-0,This is a tech demo.\n\nIt benchmarks the visuals\nand install process\nto inform future\ndevelopments.,"Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-1,"This is a tech demo.\n\nIf you see a bug,\nthat's not in the game.\n\nIt's now behind you.","Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-2,"This is a tech demo.\n\nIf you see this,\nthat means it's working.\n\nHopefully.","Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-3,This is a\npeanut butter\nand jelly sandwich.\n\nIt has all the ingredients\nto make you happy.,"Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-4,This is a video game.\n\nYou press buttons on\nyour controller.\n\nWhich you should use.,"Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-5,This is a demo.\n\nA demo demonstrates\nwhat the demo can do.\n,"Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-6,"This is a tech demo.\n\nMuch like the duck test,\nthe best way\nto gauge accuracy.","Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-7,"This is a tech demo.\n\nNot a regular demo, no.\n\nWe're testing\ntechnology here!","Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-8,"This is a tech demo.\n\nHas anyone seen\nthis mouse?\n\nPure white, pointy,\nclicks everywhere.","Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-9,"This is a game.\n\nOr at least,\nit will be one day.\n\nFor now, this demo\nshall suffice.","Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-Explorer-Disclaimer-10,This is a tech demo.\n\nYou cannot complete it.\n\nJust enjoy it.\n\nLike coffee.,"Dies ist ein Tech-Demo.\n\nWenn Sie dies sehen,\nbedeutet das,\ndass es funktioniert.\n\nHoffentlich.",Ceci est une démo technique.,Questa è una demo tecnologica.,Esta es una demostración técnica.,"To jest technologiczne demo.\n\nJeśli to widzisz,\nto znaczy że działa.\n\nMam nadzieję."
#FE-ToggleFullScreen,Toggle Full Screen,Vollbild umschalten,Basculer en plein écran,Passare a schermo intero,Alternar pantalla completa,Przełącz pełny ekran
#FE-GlobalVolume,Global Volume,Globales-Lautstärke,Volume global,Volume globale,Volumen global,Głośność globalna
#FE-VoiceVolume,Voice Volume,Stimmen-Lautstärke,Volume de la voix,Volume della voce,Volumen de voz,Głośność głosów
#FE-NoGameData,No game data installed.\nMake sure the data pack\nis in the Packs folder.,Keine Spiel-Datei installiert.\nStellen sicher dass\nder Datenpaket im\nPacks Ordner befindet.,Aucune donnée de jeu installée.\nAssurez-vous que le pack\nde données se trouve\ndans le dossier Packs.,Nessun dato di gioco installato.\nAssicurati che il pacchetto\ndati sia nella\ncartella Packs.,No hay datos\ndel juego instalados.\nAsegúrese de que el paquete\nde datos esté\nen la carpeta Packs.,"Nic nie zainstalowano.\nUpewnij się, że paczka\njest w folderze Packs."
#FE-MSAA-Off,MSAA: OFF,MSAA: AUS,MSAA: OFF,MSAA: OFF,MSAA: DESACTIVAR,MSAA: WYŁĄCZONE
#FE-MSAA-2x,MSAA: 2x,MSAA: 2x,MSAA: 2x,MSAA: 2x,MSAA: 2x,MSAA: 2x
#FE-MSAA-4x,MSAA: 4x,MSAA: 4x,MSAA: 4x,MSAA: 4x,MSAA: 4x,MSAA: 4x
#FE-MSAA-8x,MSAA: 8x,MSAA: 8x,MSAA: 8x,MSAA: 8x,MSAA: 8x,MSAA: 8x
#FE-FXAA-Off,FXAA: OFF,FXAA: AUS,FXAA: OFF,FXAA: OFF,FXAA: DESACTIVAR,FXAA: WYŁĄCZONE
#FE-FXAA-On,FXAA: ON,FXAA: EIN,FXAA: ON,FXAA: ON,FXAA: ACTIVAR,FXAA: WŁĄCZONE
#FE-VSync-Off,VSync: OFF,VSync: AUS,VSync: OFF,VSync: OFF,VSync: DESACTIVAR,VSync: WYŁĄCZONE
#FE-VSync-On,VSync: ON,VSync: EIN,VSync: ON,VSync: ON,VSync: ACTIVAR,VSync: WŁĄCZONE
#FE-VSync-Adaptive,VSync: Adaptive,VSync: Adaptiv,VSync: Adaptatif,VSync: Adattivo,VSync: Adaptado,VSync: Adaptywny
#FE-VSync-Fast,VSync: Fast,VSync: Schnell,VSync: Rapide,VSync: Veloce,VSync: Rápido,VSync: Szybki
#FE-FSR-Off,FSR: OFF,FSR: AUS,FSR: OFF,FSR: OFF,FSR: DESACTIVAR,FSR: WYŁĄCZONE
#FE-FSR-On1,FSR: ON (1.0),FSR: EIN (1.0),FSR: ON (1.0),FSR: ON (1.0),FSR: ACTIVAR (1.0),FSR: WŁĄCZONE (1.0)
#FE-FSR-On2,FSR: ON (2.2),FSR: EIN (2.2),FSR: ON (2.2),FSR: ON (2.2),FSR: ACTIVAR (2.2),FSR: WŁĄCZONE (2.2)
#FE-RenderScale,Rendering scale,Rendermaßstab,Échelle de rendu,Scala di rendering,Escala de renderizado,Skala renderowania
#FE-CamInvertH-On,Invert horizontal camera: ON,Horizontale Kamerasteuerung umkehren: EIN,Inverser le contrôle horizontal de la caméra: ON,Inverte il controllo della telecamera orizzontale: ON,Invertir control de cámara horizontal: SÍ,Odwróć poziome sterowanie kamerą: TAK
#FE-CamInvertH-Off,Invert horizontal camera: OFF,Horizontale Kamerasteuerung umkehren: AUS,Inverser le contrôle horizontal de la caméra: OFF,Inverte il controllo della telecamera orizzontale: OFF,Invertir control de cámara horizontal: NO,Odwróć poziome sterowanie kamerą: NIE
#FE-CamInvertV-On,Invert vertical camera: ON,Vertikale Kamerasteuerung umkehren: EIN,Inverser le contrôle vertical de la caméra: ON,Inverte il controllo verticale della telecamera: ON,Invertir control de cámara vertical: SÍ,Odwróć pionowe sterowanie kamerą: TAK
#FE-CamInvertV-Off,Invert vertical camera: OFF,Vertikale Kamerasteuerung umkehren: AUS,Inverser le contrôle vertical de la caméra: OFF,Inverte il controllo verticale della telecamera: OFF,Invertir control de cámara vertical: NO,Odwróć pionowe sterowanie kamerą: NIE
#FE-LanguageName,English,Deutsch,Français,Italiano,Español,Polski
#FE-Credits,Credits,Credits,Crédits,Crediti,Créditos,Napisy końcowe
#FE-Dub-English,English,Englisch,Anglais,Inglese,Inglés,Angielski
#FE-Dub-French,French,Französisch,Français,Francese,Francés,Francuski
#FE-Dub-German,German,Deutsch,Allemand,Tedesco,Alemán,Niemiecki
#FE-Dub-Italian,Italian,Italienisch,Italien,Italiano,Italiano,Włoski
#FE-Dub-Spanish,Spanish,Spanisch,Espagnol,Spagnolo,Español,Hiszpański
#FE-DubSelection,Voice Language,Stimmen-Sprache,Langue vocal,Lingua vocale,Idioma de voz,Język Głosów
#FE-Dub-Japanese,Japanese,Japanisch,Japonais,Giapponese,Japonés,Japoński
#FE-Installer-OpenFileTitle,"Locate game ISO or game files (default.xbe/system.cnf)",,,,,
